"cod_isco3","Parent","txt_isco3"
530,53,"Betreuungsberufe, onA"
531,53,"Kinder- und Lernbetreuer"
532,53,"Betreuungsberufe im Gesundheitswesen"
541,54,"Schutzkräfte und Sicherheitsbedienstete"
600,60,"Fachkräfte in Land- und Forstwirtschaft und Fischerei, onA"
610,61,"Fachkräfte in der Landwirtschaft, onA"
611,61,"Gärtner und Ackerbauern"
612,61,"Tierhalter"
613,61,"Landwirte mit Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt)"
620,62,"Fachkräfte in Forstwirtschaft, Fischerei und Jagd – Marktproduktion, onA"
621,62,"Forstarbeitskräfte und verwandte Berufe"
622,62,"Fischer, Jäger und Fallensteller"
630,63,"Landwirte, Fischer, Jäger und Sammler für den Eigenbedarf, onA"
631,63,"Ackerbauern für den Eigenbedarf"
632,63,"Nutztierhalter für den Eigenbedarf"
633,63,"Ackerbauern und Nutztierhalter (ohne ausgeprägten Schwerpunkt) für den Eigenbedarf"
634,63,"Fischer, Jäger, Fallensteller und Sammler für den Eigenbedarf"
700,70,"Handwerks- und verwandte Berufe, onA"
710,71,"Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker, onA"
711,71,"Baukonstruktions- und verwandte Berufe"
712,71,"Ausbaufachkräfte und verwandte Berufe"
713,71,"Maler, Gebäudereiniger und verwandte Berufe"
720,72,"Metallarbeiter, Mechaniker, Polymechaniker, Produktionsmechaniker und verwandte Berufe, onA"
721,72,"Blechkaltverformer, Baumetallverformer, Former (für Metallguss), Schweisser, Anlagen- und Apparatebauer und verwandte Berufe"
722,72,"Grobschmiede, Werkzeugmechaniker und verwandte Berufe"
723,72,"Maschinenmechaniker und -schlosser"
730,73,"Präzisionshandwerker, Drucker und kunsthandwerkliche Berufe, onA"
731,73,"Präzisionshandwerker und kunsthandwerkliche Berufe"
732,73,"Druckhandwerker"
740,74,"Elektriker und Elektroniker, onA"
741,74,"Elektroinstallateure und -mechaniker"
742,74,"Installateure und Mechaniker für Elektronik und Telekommunikationstechnik"
750,75,"Berufe in der Nahrungsmittelverarbeitung, Holzverarbeitung und Bekleidungsherstellung und verwandte handwerkliche Fachkräfte, onA"
751,75,"Berufe in der Nahrungsmittelverarbeitung und verwandte handwerkliche Fachkräfte"
752,75,"Holzbearbeiter, Möbeltischler und verwandte Berufe"
753,75,"Berufe der Bekleidungsherstellung und verwandte Berufe"
754,75,"Sonstige Handwerks- und verwandte Berufe"
800,80,"Bediener von Anlagen und Maschinen und Montageberufe, onA"
810,81,"Bediener stationärer Anlagen und Maschinen, onA"
811,81,"Bediener von Anlagen für den Bergbau und die Mineralaufbereitung"
812,81,"Bediener von Anlagen in der Metallerzeugung, -umformung und -veredlung"
813,81,"Bediener von Anlagen und Maschinen für chemische und fotografische Erzeugnisse"
814,81,"Bediener von Maschinen zur Herstellung von Gummi-, Kunststoff- und Papierwaren"
815,81,"Bediener von Maschinen zur Herstellung von Textil-, Pelz- und Lederwaren"
816,81,"Bediener von Maschinen zur Herstellung von Nahrungs- und Genussmitteln"
817,81,"Bediener von Anlagen zur Holzaufbereitung und Papierherstellung"
818,81,"Bediener sonstiger stationärer Anlagen und Maschinen"
820,82,"Montageberufe, onA"
821,82,"Montageberufe"
830,83,"Fahrzeugführer und Bediener mobiler Anlagen, onA"
831,83,"Lokomotivführer und verwandte Berufe"
832,83,"Kraftfahrzeugführer"
833,83,"Fahrer schwerer Lastkraftwagen und Busse"
834,83,"Bediener mobiler Anlagen"
835,83,"Deckspersonal auf Schiffen und verwandte Berufe"
900,90,"Hilfsarbeitskräfte, onA"
910,91,"Reinigungspersonal und Hilfskräfte, onA"
911,91,"Reinigungspersonal und Hilfskräfte in Privathaushalten, Hotels und Büros"
912,91,"Reinigungspersonal für Fahrzeuge, Fenster, Wäsche und sonstige manuelle Reinigungsberufe"
921,92,"Hilfsarbeiter in der Land- und Forstwirtschaft und Fischerei"
