"cod_isco1","txt_isco1"
0,"Angehörige der regulären Streitkräfte"
1,"Führungskräfte"
2,"Intellektuelle und wissenschaftliche Berufe"
3,"Techniker und gleichrangige nichttechnische Berufe"
4,"Bürokräfte und verwandte Berufe"
5,"Dienstleistungsberufe und Verkäufer"
6,"Fachkräfte in Land- und Forstwirtschaft und Fischerei"
7,"Handwerks- und verwandte Berufe"
8,"Bediener von Anlagen und Maschinen und Montageberufe"
9,"Hilfsarbeitskräfte"
