"cod_noga4","cod_noga2","txt_noga4"
5819,581,"Sonstiges Verlagswesen (ohne Software)"
5821,582,"Verlegen von Computerspielen"
5829,582,"Verlegen von sonstiger Software"
5911,591,"Herstellung von Filmen, Videofilmen und Fernsehprogrammen"
5912,591,"Nachbearbeitung und sonstige Filmtechnik"
5913,591,"Filmverleih und -vertrieb (ohne Videotheken)"
5914,591,"Kinos"
5920,592,"Tonstudios; Herstellung von Radiobeiträgen; Verlegen von bespielten Tonträgern und Musikalien"
6010,601,"Radioveranstalter"
6020,602,"Fernsehveranstalter"
6110,611,"Leitungsgebundene Telekommunikation"
6120,612,"Drahtlose Telekommunikation"
6130,613,"Satellitentelekommunikation"
6190,619,"Sonstige Telekommunikation"
6201,620,"Programmierungstätigkeiten"
6202,620,"Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie"
6203,620,"Betrieb von Datenverarbeitungsanlagen für Dritte"
6209,620,"Erbringung von sonstigen Dienstleistungen der Informationstechnologie"
6311,631,"Datenverarbeitung, Hosting und damit verbundene Tätigkeiten"
6312,631,"Webportale"
6391,639,"Korrespondenz- und Nachrichtenbüros"
6399,639,"Erbringung von sonstigen Informationsdienstleistungen a. n. g."
6411,641,"Zentralbanken"
6419,641,"Kreditinstitute (ohne Spezialkreditinstitute)"
6420,642,"Beteiligungsgesellschaften"
6430,643,"Treuhand- und sonstige Fonds und ähnliche Finanzinstitutionen"
6491,649,"Institutionen für Finanzierungsleasing"
6492,649,"Spezialkreditinstitute"
6499,649,"Erbringung von sonstigen Finanzdienstleistungen a. n. g."
6511,651,"Lebensversicherungen"
6512,651,"Nichtlebensversicherungen"
6520,652,"Rückversicherungen"
6530,653,"Pensionskassen und Pensionsfonds"
6611,661,"Effekten- und Warenbörsen"
6612,661,"Effekten- und Warenhandel"
6619,661,"Sonstige mit Finanzdienstleistungen verbundene Tätigkeiten"
6621,662,"Risiko- und Schadensbewertung"
6622,662,"Tätigkeit von Versicherungsmaklerinnen und -maklern"
6629,662,"Sonstige mit Versicherungsdienstleistungen und Pensionskassen verbundene Tätigkeiten"
6630,663,"Fondsmanagement"
6810,681,"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen"
6820,682,"Vermietung, Verpachtung von eigenen oder geleasten Grundstücken, Gebäuden und Wohnungen"
6831,683,"Vermittlung von Grundstücken, Gebäuden und Wohnungen für Dritte"
6832,683,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte"
6910,691,"Rechtsberatung"
6920,692,"Wirtschaftsprüfung und Steuerberatung; Buchführung"
7010,701,"Verwaltung und Führung von Unternehmen und Betrieben"
7021,702,"Public-Relations-Beratung"
7022,702,"Unternehmensberatung"
7111,711,"Architekturbüros"
7112,711,"Ingenieurbüros"
7120,712,"Technische, physikalische und chemische Untersuchung"
7211,721,"Forschung und Entwicklung im Bereich Biotechnologie"
7219,721,"Sonstige Forschung und Entwicklung im Bereich Natur-, Ingenieur-, Agrarwissenschaften und Medizin"
7220,722,"Forschung und Entwicklung im Bereich Rechts-, Wirtschafts- und Sozialwissenschaften sowie im Bereich Sprach-, Kultur- und Kunstwissenschaften"
7311,731,"Werbeagenturen"
7312,731,"Vermarktung und Vermittlung von Werbezeiten und Werbeflächen"
7320,732,"Markt- und Meinungsforschung"
7410,741,"Ateliers für Textil-, Schmuck-, Grafik- u. ä. Design"
7420,742,"Fotografie und Fotolabors"
7430,743,"Übersetzen und Dolmetschen"
7490,749,"Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten a. n. g."
7500,750,"Veterinärwesen"
7711,771,"Vermietung von Automobilen mit einem Gesamtgewicht von 3,5 t oder weniger"
7712,771,"Vermietung von Automobilen mit einem Gesamtgewicht von mehr als 3,5 t"
7721,772,"Vermietung von Sport- und Freizeitgeräten"
7722,772,"Videotheken"
7729,772,"Vermietung von sonstigen Gebrauchsgütern"
7731,773,"Vermietung von landwirtschaftlichen Maschinen und Geräten"
7732,773,"Vermietung von Baumaschinen und -geräten"
7733,773,"Vermietung von Büromaschinen, Datenverarbeitungsgeräten und -einrichtungen"
7734,773,"Vermietung von Wasserfahrzeugen"
7735,773,"Vermietung von Luftfahrzeugen"
7739,773,"Vermietung von sonstigen Maschinen, Geräten und beweglichen Sachen a. n. g."
7740,774,"Leasing von nichtfinanziellen immateriellen Vermögensgegenständen (ohne Copyrights)"
7810,781,"Vermittlung von Arbeitskräften"
7820,782,"Befristete Überlassung von Arbeitskräften"
7830,783,"Sonstige Überlassung von Arbeitskräften"
7911,791,"Reisebüros"
7912,791,"Reiseveranstalter"
7990,799,"Erbringung sonstiger Reservierungsdienstleistungen"
8010,801,"Private Wach- und Sicherheitsdienste"
8020,802,"Sicherheitsdienste mithilfe von Überwachungs- und Alarmsystemen"
8030,803,"Detekteien"
8110,811,"Hausmeisterdienste"
8121,812,"Allgemeine Gebäudereinigung"
8122,812,"Spezielle Reinigung von Gebäuden und Reinigung von Maschinen"
8129,812,"Reinigung a. n. g."
8130,813,"Garten- und Landschaftsbau sowie Erbringung von sonstigen gärtnerischen Dienstleistungen"
8211,821,"Allgemeine Sekretariats- und Schreibdienste"
8219,821,"Copy-Shops; Dokumentenvorbereitung und Erbringung sonstiger spezieller Sekretariatsdienste"
8220,822,"Call Centers"
8230,823,"Messe-, Ausstellungs- und Kongressveranstalter"
8291,829,"Inkassobüros und Auskunfteien"
8292,829,"Abfüllen und Verpacken"
8299,829,"Erbringung sonstiger wirtschaftlicher Dienstleistungen für Unternehmen und Privatpersonen a. n. g."
8411,841,"Allgemeine öffentliche Verwaltung"
8412,841,"Öffentliche Verwaltung auf den Gebieten Gesundheitswesen, Bildung, Kultur und Sozialwesen"
8413,841,"Wirtschaftsförderung, -ordnung und -aufsicht"
8421,842,"Auswärtige Angelegenheiten"
8422,842,"Verteidigung"
8423,842,"Rechtspflege/Justiz"
8424,842,"Öffentliche Sicherheit und Ordnung"
8425,842,"Feuerwehren"
8430,843,"Sozialversicherung"
8510,851,"Kindergärten und Vorschulen"
8520,852,"Schulen auf Primarstufe"
8531,853,"Allgemein bildende Schulen auf Sekundarstufe"
8532,853,"Berufsbildende Schulen auf Sekundarstufen"
8541,854,"Post-sekundärer, nicht tertiärer Unterricht"
8542,854,"Tertiärer Unterricht"
8551,855,"Sport- und Freizeitunterricht"
8552,855,"Kulturunterricht"
8553,855,"Fahr- und Flugschulen"
8559,855,"Sonstiger Unterricht a. n. g."
8560,856,"Erbringung von Dienstleistungen für den Unterricht"
8610,861,"Krankenhäuser"
8621,862,"Arztpraxen für Allgemeinmedizin"
8622,862,"Facharztpraxen"
8623,862,"Zahnarztpraxen"
8690,869,"Gesundheitswesen a. n. g."
8710,871,"Pflegeheime"
8720,872,"Stationäre Einrichtungen zur psychosozialen Betreuung, Suchtbekämpfung u. Ä."
8730,873,"Altenheime; Alten- und Behindertenwohnheime"
8790,879,"Sonstige Heime (ohne Erholungs- und Ferienheime)"
8810,881,"Soziale Betreuung älterer Menschen und Behinderter"
8891,889,"Tagesbetreuung von Kindern"
8899,889,"Sonstiges Sozialwesen a. n. g."
9001,900,"Darstellende Kunst"
9002,900,"Erbringung von Dienstleistungen für die darstellende Kunst"
9003,900,"Künstlerisches und schriftstellerisches Schaffen"
9004,900,"Betrieb von Kultur- und Unterhaltungseinrichtungen"
9101,910,"Bibliotheken und Archive"
9102,910,"Museen"
9103,910,"Betrieb von historischen Stätten und Gebäuden und ähnlichen Attraktionen"
9104,910,"Botanische und zoologische Gärten sowie Naturparks"
9200,920,"Spiel-, Wett- und Lotteriewesen"
9311,931,"Betrieb von Sportanlagen"
9312,931,"Sportvereine"
9313,931,"Fitnesszentren"
9319,931,"Erbringung von sonstigen Dienstleistungen des Sports"
9321,932,"Vergnügungs- und Themenparks"
9329,932,"Erbringung von Dienstleistungen der Unterhaltung und der Erholung a. n. g."
9411,941,"Wirtschafts- und Arbeitgeberverbände"
9412,941,"Berufsorganisationen"
9420,942,"Arbeitnehmervereinigungen"
9491,949,"Kirchliche und sonstige religiöse Vereinigungen"
9492,949,"Politische Parteien und Vereinigungen"
9499,949,"Sonstige Interessenvertretungen und Vereinigungen a. n. g."
9511,951,"Reparatur von Datenverarbeitungsgeräten und peripheren Geräten"
9512,951,"Reparatur von Telekommunikationsgeräten"
9521,952,"Reparatur von Geräten der Unterhaltungselektronik"
9522,952,"Reparatur von elektrischen Haushaltsgeräten und Gartengeräten"
9523,952,"Reparatur von Schuhen und Lederwaren"
9524,952,"Reparatur von Möbeln und Einrichtungsgegenständen"
9525,952,"Reparatur von Uhren und Schmuck"
9529,952,"Reparatur von sonstigen Gebrauchsgütern"
9601,960,"Wäscherei und chemische Reinigung"
9602,960,"Frisör- und Kosmetiksalons"
9603,960,"Bestattungswesen"
9604,960,"Saunas, Solarien, Bäder u. Ä."
9609,960,"Erbringung von sonstigen Dienstleistungen a. n. g."
9700,970,"Private Haushalte mit Hauspersonal"
9810,981,"Herstellung von Waren durch private Haushalte für den Eigenbedarf ohne ausgeprägten Schwerpunkt"
9820,982,"Erbringungen von Dienstleistungen durch private Haushalte für den Eigenbedarf ohne ausgeprägten Schwerpunkt"
9900,990,"Exterritoriale Organisationen und Körperschaften"
