"cod_isco6","Parent","txt_isco6"
11101001,61300,"Mountain farmer"
11101002,61300,"Small farmer"
11101003,61300,"Farmer"
11101004,61300,"Farmer"
11101005,61300,"Tenant"
11101007,61300,""
11101008,61300,"Livestock producer"
11101009,92130,""
11101010,61300,""
11101011,92130,""
11101012,61300,""
11101013,61300,"Farmer/landlord | Farmer/landlady"
11101014,61300,""
11101016,61300,"Farmer"
11101017,61300,"Farmer/fruit farmer"
11101018,61300,"Farmer/winegrower"
11101019,61300,"Farmer/horticulturist"
11101020,61300,""
11101021,61300,""
11101022,61300,""
11101023,61300,""
11101024,61300,""
11101025,61300,""
11101026,61300,""
11101027,61300,""
11101028,61211,""
11101029,61300,""
11101030,61300,""
11101031,61300,""
11101032,61300,""
11101033,61300,""
11101034,61300,""
11101035,61300,""
11101036,61300,""
11101037,61300,""
11101038,61211,""
11102001,92130,"Farm hand"
11102002,92130,""
11102003,92130,"Farm labourer"
11102004,92130,""
11102005,92120,"Stableboy | Stable maid"
11102006,92130,""
11102007,92130,""
11102008,92130,"Farm worker"
11102009,92120,"Milker"
11102010,92130,"Agricultural employee"
11102011,92130,"Agricultural aid"
11102012,92130,""
11102013,61211,"Herdsman | Herdswoman"
11102014,61211,""
11102015,92120,""
11102016,92120,""
11102017,83410,"Tractor driver"
11102018,92110,"Picker"
11102019,92130,""
11102020,92120,"Stable lad"
11102021,92130,"Agricultural labourer"
11102022,92130,""
11102023,92130,""
11103001,13110,"Agricultural estate manager"
11103002,13110,"Agricultural estate owner"
11103003,32400,"Artificial insemination technician"
11103004,32400,"Artificial inseminator"
11103005,31420,"Agricultural technician/engineer"
11103006,31410,"Plant protection technician"
11103007,61300,"Agricultural estate manager"
11103008,92110,"Medicinal herb picker"
11103009,75440,"Mouse catcher"
11103010,21320,"Agricultural expert"
11103011,83410,"Thresher"
11103012,83410,"Threshing machine driver"
11103013,61300,"Manager of an agricultural holding"
11103014,61300,""
11103015,21320,"Agricultural consultant"
11103016,32570,"Cattle inspector"
11103017,61300,"Cultivation manager"
11103018,92130,"Agricultural assistant"
11103019,43210,"Breeding book manager"
11103020,75440,"Mole catcher"
11103021,92110,""
11103022,61300,""
11103023,33590,"Breeding expert"
11103024,92110,"Threshing worker"
11103025,92120,"Breeding worker"
11103026,21320,"Milking expert"
11103027,21320,"Milking consultant"
11103028,21320,"Plant cultivation consultant"
11103029,21320,"Grain specialist"
11103030,21320,"Cultivation consultant"
11103031,31420,"Fertilizer consultant"
11103032,21320,"Plant protection consultant"
11103033,61100,""
11103034,21320,""
11103035,75440,""
11103036,32570,""
11103037,33220,""
11201001,61121,"Pomologist"
11201002,31420,"Fruit growing technician"
11201003,61121,"Fruit grower"
11201004,21320,"Fruit growing consultant"
11201005,61121,"Fruit growing expert"
11201006,61121,"Fruit grower"
11201007,61121,""
11201008,61121,"Fruit and winegrower"
11201009,92110,"Fruit sorter"
11201010,61121,"Fruit farmer"
11201011,61121,"Fruit tree pruner"
11201012,92110,"Fruit picker"
11201013,32570,"Fruit growing inspector"
11201014,61121,""
11201015,61121,""
11201016,61121,"Fruit and winegrower"
11201017,61121,"Fruit producer"
11201018,61121,""
11201019,61121,""
11201020,61121,""
11201021,61121,""
11202001,61122,"Winegrower"
11202002,61122,"Winegrower"
11202003,61122,"Winegrower-cellar master"
11202004,61122,"Winegrower-tenant"
11202005,61122,""
11202006,92110,"Winegrowing employee"
11202007,33590,""
11202008,61122,""
11202009,92110,"Winegrowing labourer"
11202010,61122,"Winegrower"
11202011,92110,"Grape picker"
11202012,92110,"Winegrowing assistant"
11202013,61122,""
11202014,61122,""
11202015,61122,"Winegrower"
11202016,92110,"Vine grafter"
11202017,61122,""
11202018,81602,""
11202019,61122,""
11202020,61122,""
11203001,61132,"Mushroom grower"
11203002,61110,""
11203003,61110,"Qualified vegetable grower"
11203004,61132,"Tobacco planter"
11203005,61110,"Asparagus grower"
11203006,92110,"Mushroom picker"
11203007,61110,""
11203008,61110,"Horticulturist (vegetable grower)"
11203009,61300,"Organic farmer"
11203010,61132,"Organic gardener"
11203011,92110,"Vegetable growing worker"
11203012,61132,"White mushroom grower"
11203013,61110,"Vegetable gardener"
11203014,61110,""
11203015,61110,""
11203016,61110,""
11203017,61121,"Fruit and vegetable farmer"
11203018,61121,"Fruit and vegetable gardener"
11203019,61110,"Organic vegetable grower"
11203020,61110,"Organic vegetable farmer"
11203021,61110,"Vegetable producer"
11203022,61110,""
11203023,61110,""
11203024,61110,""
11301001,92120,"Stable hand (horses)"
11301002,61212,"Horse breaker"
11301003,61211,"Cattle fattener"
11301004,61212,"Horse groom"
11301005,61211,"Equerry"
11301006,61290,"Breeder"
11301007,61211,"Cattle breeder"
11301008,61212,"Horse groom"
11301009,61212,"Stud master"
11301010,61211,"Cattle and horse breeder"
11301011,61212,""
11301012,61300,"Farmer/horse groom"
11301013,31420,"Cattle expert"
11301014,61212,""
11301015,61212,"Horse breeder"
11301016,61212,""
11301017,61212,"Riding stable owner"
11301018,92120,""
11301019,61212,"Equestrian"
11301020,61212,""
11301021,61211,"Stock breeder"
11301022,92120,"Equestrian centre employee"
11301023,61212,""
11301024,61212,"Certified equine specialist"
11301025,61212,"Certified groom"
11301026,61212,""
11301027,61212,""
11301028,61212,""
11301029,61212,""
11301030,61212,""
11301031,61211,""
11301032,61212,""
11301033,61212,""
11301034,61212,""
11301035,61212,""
11301036,61212,""
11301037,61212,""
11301038,61212,""
11301039,61212,""
11301040,61212,""
11301041,61212,""
