"cod_isco4","cod_isco2","txt_isco4"
8100,810,"Bediener stationärer Anlagen und Maschinen, onA"
8110,811,"Bediener von Anlagen für den Bergbau und die Mineralaufbereitung, onA"
8111,811,"Bergleute und Grubenarbeiter"
8112,811,"Bediener von Mineral- und Gesteinsaufbereitungsanlagen"
8113,811,"Tiefbohrer und verwandte Berufe"
8114,811,"Bediener von Maschinen zur Herstellung und Verarbeitung von Zement, Steinen und sonstigen Mineralien"
8120,812,"Bediener von Anlagen in der Metallerzeugung, -umformung und -veredlung, onA"
8121,812,"Bediener von Anlagen in der Metallerzeugung und -umformung"
8122,812,"Bediener von Anlagen zur Metallveredlung, Plattierung und Beschichtung von Metallen"
8130,813,"Bediener von Anlagen und Maschinen für chemische und fotografische Erzeugnisse, onA"
8131,813,"Bediener von Anlagen und Maschinen für chemische Erzeugnisse"
8132,813,"Bediener von Anlagen für fotografische Erzeugnisse"
8140,814,"Bediener von Maschinen zur Herstellung von Gummi-, Kunststoff- und Papierwaren, onA"
8141,814,"Bediener von Maschinen zur Herstellung von Gummiwaren"
8142,814,"Bediener von Maschinen zur Herstellung von Kunststoffwaren"
8143,814,"Bediener von Maschinen zur Herstellung von Papierwaren"
8150,815,"Bediener von Maschinen zur Herstellung von Textil-, Pelz- und Lederwaren, onA"
8151,815,"Bediener von Spinnstoffaufbereitungs-, Spinn- und Spulmaschinen"
8152,815,"Bediener von Web-, Strick- und Wirkmaschinen"
8153,815,"Bediener von Nähmaschinen"
8154,815,"Bediener von Bleich- und Färbemaschinen"
8155,815,"Bediener von Pelz- und Lederzurichtungs- und -vorbereitungsmaschinen"
8156,815,"Bediener von Maschinen zur Schuhherstellung und verwandte Berufe"
8157,815,"Bediener von Wäschereimaschinen"
8159,815,"Bediener von Maschinen zur Herstellung von Textil-, Pelz- und Lederwaren, anderweitig nicht genannt"
8160,816,"Bediener von Maschinen zur Herstellung von Nahrungs- und Genussmitteln"
8170,817,"Bediener von Anlagen zur Holzaufbereitung und Papierherstellung, onA"
8171,817,"Bediener von Anlagen zur Zellstoff- und Papierherstellung"
8172,817,"Bediener von Anlagen zur Holzaufbereitung"
8180,818,"Bediener sonstiger stationärer Anlagen und Maschinen, onA"
8181,818,"Bediener von Anlagen zur Glas- und Keramikherstellung"
8182,818,"Bediener von Dampfmaschinen und -kesseln"
8183,818,"Bediener von Verpackungs-, Abfüll- und Etikettiermaschinen"
8189,818,"Bediener stationärer Anlagen und Maschinen, anderweitig nicht genannt"
8200,820,"Montageberufe, onA"
8210,821,"Montageberufe, onA"
8211,821,"Berufe der Montage von mechanischen Bauteilen"
8212,821,"Berufe der Montage von elektrischen und elektronischen Geräten"
8219,821,"Montageberufe, anderweitig nicht genannt"
8300,830,"Fahrzeugführer und Bediener mobiler Anlagen, onA"
8310,831,"Lokomotivführer und verwandte Berufe, onA"
8311,831,"Lokomotivführer"
8312,831,"Bediener von Sicherungs-, Signal- und Leittechnik im Schienennetzbetrieb"
8320,832,"Kraftfahrzeugführer, onA"
8321,832,"Motorradfahrer"
8322,832,"Personenkraftwagen-, Taxi-, Kleintransporter- und Kleinbusfahrer"
8330,833,"Fahrer schwerer Lastkraftwagen und Busse, onA"
8331,833,"Busfahrer und Strassenbahnführer"
8332,833,"Fahrer schwerer Lastkraftwagen"
8340,834,"Bediener mobiler Anlagen, onA"
8341,834,"Führer von mobilen land- und forstwirtschaftlichen Maschinen"
8342,834,"Führer von Erdbewegungs- und verwandten Maschinen, Strassenbau und Baumaschinen"
8343,834,"Kranführer, Aufzugmaschinisten und Bediener verwandter Hebeeinrichtungen"
8344,834,"Gabelstaplerfahrer und verwandte Berufe"
8350,835,"Deckspersonal auf Schiffen und verwandte Berufe"
9000,900,"Hilfsarbeitskräfte, onA"
9100,910,"Reinigungspersonal und Hilfskräfte, onA"
9110,911,"Reinigungspersonal und Hilfskräfte in Privathaushalten, Hotels und Büros, onA"
9111,911,"Reinigungspersonal und Hilfskräfte in Privathaushalten"
9112,911,"Reinigungspersonal und Hilfskräfte in Büros, Hotels und anderen Einrichtungen"
9120,912,"Reinigungspersonal für Fahrzeuge, Fenster, Wäsche und sonstige manuelle Reinigungsberufe, onA"
9121,912,"Handwäscher und Handbügler"
9122,912,"Fahrzeugreiniger"
9123,912,"Fensterputzer"
9129,912,"Sonstiges Reinigungspersonal"
9210,921,"Hilfsarbeiter in der Land- und Forstwirtschaft und Fischerei, onA"
9211,921,"Hilfsarbeiter im Gemüse- und Obstbau"
9212,921,"Hilfsarbeiter in der Tierhaltung"
9213,921,"Hilfsarbeiter in Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt)"
9214,921,"Hilfsarbeiter im Gartenbau"
9215,921,"Hilfsarbeiter in der Forstwirtschaft"
9216,921,"Hilfsarbeiter in der Fischerei und Aquakultur"
9300,930,"Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen, onA"
9310,931,"Hilfsarbeiter im Bergbau und im Bau, onA"
9311,931,"Hilfsarbeiter im Bergbau und in der Gewinnung von Steinen und Erden"
9312,931,"Hilfsarbeiter im Tiefbau"
9313,931,"Hilfsarbeiter im Hochbau"
9320,932,"Hilfsarbeiter bei der Herstellung von Waren, onA"
9321,932,"Verpacker"
9329,932,"Hilfsarbeiter bei der Herstellung von Waren, anderweitig nicht genannt"
9330,933,"Hilfsarbeiter in Transport und Lagerei, onA"
9331,933,"Führer von Handwagen und pedalbetriebenen Fahrzeugen"
9332,933,"Führer von Fahrzeugen und Maschinen mit Zugtierantrieb"
9333,933,"Frachtarbeiter und verwandte Berufe"
9334,933,"Regalbetreuer und -auffüller"
9410,941,"Hilfskräfte in der Nahrungsmittelzubereitung, onA"
9411,941,"Zubereiter von Fast Food und anderen Imbissen"
9412,941,"Hilfsköche und Küchengehilfen"
9500,950,"Strassenhändler und auf der Strasse arbeitende Dienstleistungskräfte, onA"
9510,951,"Auf der Strasse arbeitende Dienstleistungskräfte und verwandte Berufe"
9520,952,"Strassenverkäufer (ohne Lebensmittel)"
9600,960,"Abfallentsorgungsarbeiter und sonstige Hilfsarbeitskräfte, onA"
9610,961,"Abfallentsorgungsarbeiter, onA"
9611,961,"Arbeiter in der Abfall- und Wertstoffsammlung"
9612,961,"Arbeiter in der Abfallsortierung"
9613,961,"Strassenkehrer und verwandte Berufe"
9620,962,"Sonstige Hilfsarbeitskräfte, onA"
9621,962,"Boten, Paketauslieferer und Gepäckträger"
9622,962,"Gelegenheitsarbeiter"
9623,962,"Zählerableser, Automatenbefüller und -kassierer"
9624,962,"Wasserträger und Brennholzsammler"
9629,962,"Hilfsarbeitskräfte, anderweitig nicht genannt"
