"cod_isco4","cod_isco2","txt_isco4"
2351,235,"Pädagogik- und Didaktikspezialisten"
2352,235,"Lehrkräfte im Bereich Sonderpädagogik"
2353,235,"Sprachlehrer"
2354,235,"Musiklehrer"
2355,235,"Kunstlehrer"
2356,235,"Ausbilder im Bereich Informationstechnologie"
2359,235,"Lehrkräfte, anderweitig nicht genannt"
2400,240,"Betriebswirte und vergleichbare Spezialisten, onA"
2410,241,"Spezialisten im Bereich Finanzen, onA"
2411,241,"Wirtschaftsprüfer, Steuerberater und verwandte Berufe"
2412,241,"Finanz- und Anlageberater"
2413,241,"Finanzanalysten"
2420,242,"Spezialisten der betrieblichen Verwaltung, onA"
2421,242,"Spezialisten im Bereich Management- und Organisationsanalyse"
2422,242,"Spezialisten in der strategischen Planung in Politik und Wirtschaft"
2423,242,"Berufsberater und -analytiker und vergleichbare Spezialisten der Personalwesen"
2424,242,"Fachkräfte in Personalschulung und -entwicklung"
2430,243,"Spezialisten in Vertrieb, Marketing und Öffentlichkeitsarbeit, onA"
2431,243,"Fachkräfte in Marketing und Werbung"
2432,243,"Fachkräfte in der Öffentlichkeitsarbeit"
2433,243,"Technische Verkaufsfachkräfte (ohne Informations- und Kommunikationstechnologie)"
2434,243,"Technische Verkaufsfachkräfte in der Informations- und Kommunikationstechnologie"
2500,250,"Spezialisten in der Informations- und Kommunikationstechnologie, onA"
2510,251,"Entwickler und Analytiker von Software und Anwendungen, onA"
2511,251,"Systemanalytiker"
2512,251,"Softwareentwickler"
2513,251,"Mediamatiker"
2514,251,"Anwendungsprogrammierer"
2519,251,"Entwickler und Analytiker von Software und Anwendungen, anderweitig nicht genannt"
2520,252,"Fachkräfte für Datenbanken und Netzwerke, onA"
2521,252,"Datenbankentwickler und -administratoren"
2522,252,"Systemadministratoren"
2523,252,"Fachkräfte für Computernetzwerke"
2529,252,"Fachkräfte für Datenbanken und Netzwerke, anderweitig nicht genannt."
2600,260,"Juristen, Sozialwissenschaftler und Kulturberufe, onA"
2610,261,"Juristen, onA"
2611,261,"Anwälte"
2612,261,"Richter"
2619,261,"Juristen, anderweitig nicht genannt"
2620,262,"Archiv-, Bibliotheks- und Museumswissenschaftler, onA"
2621,262,"Archiv- und Museumswissenschaftler"
2622,262,"Bibliothekswissenschaftler und verwandte Informationswissenschaftler"
2630,263,"Sozialwissenschaftler, Geistliche und Seelsorger, onA"
2631,263,"Volkswirtschaftler"
2632,263,"Soziologen, Anthropologen und verwandte Wissenschaftler"
2633,263,"Philosophen, Historiker und Politologen"
2634,263,"Psychologen"
2635,263,"Sozialarbeiter"
2636,263,"Geistliche Seelsorger"
2640,264,"Autoren, Journalisten und Linguisten, onA"
2641,264,"Autoren und verwandte schriftstellerische Berufe"
2642,264,"Journalisten"
2643,264,"Übersetzer, Dolmetscher und andere Linguisten"
2650,265,"Bildende und darstellende Künstler, onA"
2651,265,"Bildende Künstler"
2652,265,"Musiker, Sänger und Komponisten"
2653,265,"Tänzer und Choreografen"
2654,265,"Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen"
2655,265,"Schauspieler"
2656,265,"Sprecher im Rundfunk, Fernsehen und sonstigen Medien"
2659,265,"Bildende und darstellende Künstler, anderweitig nicht genannt"
3000,300,"Techniker und gleichrangige nichttechnische Berufe, onA"
3100,310,"Ingenieurtechnische und vergleichbare Fachkräfte, onA"
3110,311,"Material- und ingenieurtechnische Fachkräfte, onA"
3111,311,"Chemo- und Physikotechniker"
3112,311,"Bauführer und Bautechniker"
3113,311,"Elektrotechniker"
3114,311,"Techniker im Bereich Elektronik"
3115,311,"Maschinenbautechniker, Techniker im Bereich Systemtechnik, Automation und Unternehmensprozesse"
3116,311,"Chemiebetriebs- und Verfahrenstechniker"
3117,311,"Bergbau- und Hüttentechniker"
3118,311,"Technische Zeichner"
3119,311,"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt"
3120,312,"Produktionsleiter im Bergbau, bei der Herstellung von Waren, Polier und Vorarbeiter im Bau, onA"
3121,312,"Produktionsleiter im Bergbau"
3122,312,"Produktionsleiter bei der Herstellung von Waren"
3123,312,"Poliere und Vorarbeiter"
3130,313,"Techniker in der Prozesssteuerung, onA"
3131,313,"Steuerer von Energieerzeugungsanlagen"
3132,313,"Steuerer von Verbrennungs- und Wasserbehandlungsanlagen"
3133,313,"Steuerer von chemischen Verfahrensanlagen"
3134,313,"Steuerer von Erdöl- und Erdgasraffinationsanlagen"
3135,313,"Steuerer von Verfahren in der Metallerzeugung"
3139,313,"Techniker in der Prozesssteuerung, anderweitig nicht genannt"
3140,314,"Biotechniker und verwandte technische Berufe, onA"
3141,314,"Biotechniker (ohne medizinische Fachberufe)"
3142,314,"Agrartechniker"
3143,314,"Forsttechniker"
3150,315,"Schiffsführer, Flugzeugpiloten und verwandte Berufe, onA"
3151,315,"Technische Schiffsoffiziere"
3152,315,"Schiffsführer, nautische Schiffsoffiziere und Schiffslotsen"
3153,315,"Flugzeugpiloten und verwandte Berufe"
3154,315,"Flugverkehrslotsen"
3155,315,"Flugsicherungstechniker"
3200,320,"Assistenzberufe im Gesundheitswesen, onA"
3210,321,"Medizinische und pharmazeutische Fachberufe, onA"
3211,321,"Medizintechniker im Bereich bildgebende Verfahren und Therapiegeräte"
3212,321,"Medizintechniker im Bereich Labor und Pathologie"
3213,321,"Pharmazeutische Techniker und Assistenten"
